goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Jit/rule029-16         	19269238	         6.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	18975205	         6.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	19306959	         6.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	19238862	         6.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	19379976	         6.489 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	18119815	         6.626 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	18690982	         6.574 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule029-16         	18773098	         6.587 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18313502	         6.556 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18342313	         6.536 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18897140	         6.587 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	16490973	         6.481 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18446874	         6.538 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18727202	         6.563 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18503169	         6.553 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule030-16         	18031893	         6.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18814795	         6.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18531028	         7.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18816273	         6.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18672078	         6.524 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18533533	         6.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18789266	         6.512 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18339974	         6.478 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule031-16         	18447464	         6.410 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	19450260	         6.319 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18899869	         6.511 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18645482	         6.407 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18912901	         6.641 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	17323413	         6.971 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18775792	         6.624 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18354938	         6.542 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule032-16         	18650676	         7.098 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18638364	         6.607 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18618480	         6.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18659010	         6.733 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule033-16         	18482389	         6.461 ns/op	       0 B/op	       0 allocs/op
