goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Jit/rule016-18         	 6871610	        17.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	 9280308	        12.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	 9775304	        12.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	10256793	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	 9930504	        11.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	10112990	        12.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	 8154470	        15.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	10233880	        12.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule017-18         	 8972329	        13.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 5967040	        18.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6725260	        18.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6163305	        16.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6818835	        17.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6621055	        16.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6517638	        18.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 6710570	        17.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule018-18         	 7031270	        17.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4251319	        25.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 3916846	        26.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4451552	        29.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4531084	        26.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4592060	        25.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4277545	        23.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 4681150	        26.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule019-18         	 5031622	        24.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7273932	        15.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7426828	        15.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 8345538	        15.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7416442	        15.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7928958	        14.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 6805444	        15.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7618844	        14.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule020-18         	 7950960	        15.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16965520	         7.671 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16173362	         7.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16554843	         7.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16474899	         7.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16353262	         7.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16426785	         7.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16226674	         7.768 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule021-18         	16643917	         6.870 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	17436657	         7.012 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	17199349	         7.472 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	15599845	         7.325 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	16311045	         6.946 ns/op	       0 B/op	       0 allocs/op
BenchmarkJit_Jit/rule022-18         	15704412	         6.849 ns/op	       0 B/op	       0 allocs/op
