goos: darwin
goarch: arm64
pkg: github.com/taichimaeda/cel-go/cel
cpu: Apple M4 Max
BenchmarkJit_Interpreter/rule018-16         	  794088	       164.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  410899	       298.0 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  400232	       290.7 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  412210	       289.3 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  429920	       288.6 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  407878	       291.3 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  428310	       284.8 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  424065	       289.4 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-16         	  422913	       295.1 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  730741	       167.5 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  742248	       168.5 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  761199	       167.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  752744	       167.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  707946	       171.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  691393	       171.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  742936	       170.1 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-16         	  703434	       170.1 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2807238	        42.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2740749	        42.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2808388	        42.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2808481	        45.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2738894	        43.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2730411	        43.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2800518	        42.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-16         	 2817758	        42.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2752248	        43.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule022-16         	 2764880	        43.71 ns/op	      16 B/op	       1 allocs/op
