goos: linux
goarch: amd64
pkg: github.com/google/cel-go/cel
cpu: Intel(R) Core(TM) Ultra 5 125H
BenchmarkJit_Interpreter/rule017-18         	  384514	       335.3 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  382562	       333.7 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule017-18         	  407594	       343.4 ns/op	     216 B/op	      10 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  413967	       313.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  430468	       310.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  435184	       299.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  408745	       306.9 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  447295	       307.8 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  418422	       313.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  424520	       293.7 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule018-18         	  446736	       294.0 ns/op	     184 B/op	       8 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  215142	       550.8 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  228182	       521.4 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  228238	       576.9 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  232141	       531.7 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  228765	       538.3 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  192121	       541.0 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  211512	       540.2 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule019-18         	  219223	       539.4 ns/op	     352 B/op	      15 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  498974	       245.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  467422	       262.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  456489	       268.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  500186	       250.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  525007	       248.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  482062	       272.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  371518	       272.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule020-18         	  510806	       244.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1770680	        69.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1806051	        69.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1647370	        64.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1828450	        65.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1845186	        62.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1673494	        73.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1932372	        68.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkJit_Interpreter/rule021-18         	 1621370	        63.75 ns/op	      16 B/op	       1 allocs/op
